id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
236234	0000000000000068ad9ad25486c39fdcfb44a5b4ae823268ac20bae192200e60	2013-05-15 00:05:34	2013-05-14 23:43:11	244123	244123	976492	2	2	000000000000000000000000000010	0963b8e728fdc5587ff3b381fd4281fea008dc93cf920699bf8b472ef5448087	1368407938	436305897	11187257.461361	0000000000000000000000000000000000000000000000418ca040352d14cf23	03ca9a03534f434b00001c57e33cd459522cfabe6d6df27f53132d20f85a9b54ccb9e9c4defdfc9419822a5d0b37646dcdd8951f39fb08000000000000002f6269747061726b696e67	543	0	1081	1612	428228061143	489593.1562	430728061143	492451.4062	52418606	59.9302	214964	0.2458	53741.1	0.0614	22529.887242373	2500000000	2858.25	2552418606	2918.1802	Bitparking
236235	00000000000000136ef52903cf4a5c3522f82e59fc44e7450c0ed5ed36a5c547	2013-05-15 00:13:04	2013-05-14 23:43:22	197881	197881	791524	2	2	000000000000000000000000000010	38b49cbb4ed2375ce8a6285800a9979725414056dbf1dbaa59c1e27b585806ef	898180705	436305897	11187257.461361	0000000000000000000000000000000000000000000000418d4af5195814b7cc	03cb9a030004e97f011a0400000000522cfabe6d6d0000000000000dac5d00001de50048692066726f6d2035304254432e636f6d2039ac1eeeed88	495	0	940	1001	875507930728	1000968.25	878007930728	1003826.5	32627800	37.3034	165075	0.1887	41268.8	0.0472	1936.5707220563	2500000000	2858.25	2532627800	2895.5535	50BTC
236236	0000000000000126d5dda76035be925ff0d51aa0083e81fa0830bdde93a65bf3	2013-05-15 00:20:44	2013-05-14 23:52:20	99401	99401	397604	2	2	000000000000000000000000000010	a8fda6c10516659ef6a537f7aa039134c88c06b12ce08c1c7a3f9f3ed401adc7	1493565060	436305897	11187257.461361	0000000000000000000000000000000000000000000000418df5a9fd8314a075	03cc9a035804e97f011a023601062f503253482f	304	0	460	596	524250303443	599375.375	526750303443	602233.625	3291000	3.7626	33185.1	0.0379	8296.28	0.0095	145482.52736016	2500000000	2858.25	2503291000	2862.0127	Unknown
236237	000000000000004fcac7d78d588733ff2f5a5053e08fbb953ed84d9ddfc37475	2013-05-15 00:38:13	2013-05-14 23:57:10	249174	249174	996696	2	2	000000000000000000000000000010	44618abf6f00bd2a7f6bf572852debbfc9843dfcf7d6e58d7ab7224cfac0cfbc	375191552	436305897	11187257.461361	0000000000000000000000000000000000000000000000418ea05ee1ae14891e	03cd9a03094269744d696e746572062f503253482f2cfabe6d6d710f696e7b7a33860c1ca1f60372ba9c25a4f69de3ec44b76c2a516143b0848801000000000000000965753103c30000001581ffd15d000000000812	739	0	1136	1463	781690494590	893706.75	784190494590	896565	60123800	68.7395	241539	0.2762	60384.7	0.069	79857.274719661	2500000000	2858.25	2560123800	2926.9895	BitMinter
236238	000000000000005ca00d0feb0c816d38642571925172dc206c8be13d1d32a4ce	2013-05-15 00:48:03	2013-05-14 23:58:19	465130	465130	1860520	2	2	000000000000000000000000000010	93b68bb5e5254a96bc3f0d8b0d403694ad98c7fc9eb2bc1bfbaf11b58dc962bf	597878102	436305897	11187257.461361	0000000000000000000000000000000000000000000000418f4b13c5d91471c7	03ce9a03040001a3df124d696e656420627920425443204775696c6408000ac7cd000026aa	798	0	2254	2202	778160065163	889670.4375	780660065163	892528.6875	63931480	73.0929	137509	0.1572	34377.3	0.0393	50439.496192789	2500000000	2858.25	2563931480	2931.343	BTC Guild
236239	00000000000000d6035f5c3cc057879e85bd2287ccd69d76e711aff75c0be104	2013-05-15 00:50:07	2013-05-15 00:05:34	75165	75165	300660	2	2	000000000000000000000000000010	ef7bb03789f5928348ca2ef11d2429e8372dd5557d18695db0b7d7751aa0c12c	3971697226	436305897	11187257.461361	0000000000000000000000000000000000000000000000418ff5c8aa04145a70	03cf9a03094269744d696e746572062f503253482f2cfabe6d6d3b84b198db2539df2109de70a330ffef36459ac24dc559434eed3ae31873212201000000000000000965753103fb0000000bf7dbf1bd000000002187	115	0	349	382	150096799807	171605.6719	152596799807	174463.9219	8060000	9.215	107591	0.123	26897.9	0.0308	4041.9382080102	2500000000	2858.25	2508060000	2867.4651	BitMinter
236240	0000000000000052becc3f4ee585d5314deb17e646fca9275261360357a39e3d	2013-05-15 01:00:28	2013-05-15 00:13:04	346102	346102	1384408	2	2	000000000000000000000000000010	0a427fc7d61258d2dc200cb24baeadb4fd18eeef286742733205b2fe2297b893	2763510389	436305897	11187257.461361	00000000000000000000000000000000000000000000004190a07d8e2f144319	03d09a0304e97f011a0484021d0c522cfabe6d6d6ac8864a6b7fd63cb6d3460c41982652a549a498d589dfd624da0f44018fff420100000000000000425443204775696c642032ac1eeeed88	613	0	1657	1695	642818803412	734934.75	645318803412	737793	50587801	57.837	146268	0.1672	36566.9	0.0418	13560.591506299	2500000000	2858.25	2550587801	2916.0872	BTC Guild
236241	000000000000008a1a367c56bb87fd4158772e64792e47d184e5ac2983cd2b7b	2013-05-15 01:03:29	2013-05-15 00:20:44	162398	162398	649592	2	2	000000000000000000000000000010	58bbc81987cbdff6722fcb7e3385b828b870edef566e6587bcac5d8cb2960e7d	1075668041	436305897	11187257.461361	000000000000000000000000000000000000000000000041914b32725a142bc2	03d19a030400000a46124d696e656420627920425443204775696c64080000019c00000cf9	273	0	651	1459	302825386196	346220.2812	305325386196	349078.5312	17830000	20.385	109931	0.1257	27482.7	0.0314	3859.183360933	2500000000	2858.25	2517830000	2878.635	BTC Guild
236242	000000000000005d7cfb2a995952a4a6164746c1ba52b25393f6c399920c1ec3	2013-05-15 01:25:07	2013-05-15 00:38:13	249174	249174	996696	2	2	000000000000000000000000000010	78ac15b15cbf20d0659eaeb6b4664705390e48ddef707ac826b1659a1718b407	2753048123	436305897	11187257.461361	00000000000000000000000000000000000000000000004191f5e7568514146b	03d29a030004e97f011a0409a1ab1d522cfabe6d6d0000000000000000000048692066726f6d2035304254432e636f6d2038ac1eeeed88	957	0	1092	1908	2139614466167	2446221.25	2142114466167	2449079.5	49900000	57.0507	200441	0.2292	50110.3	0.0573	2509.426205569	2500000000	2858.25	2549900000	2915.3008	50BTC
236243	000000000000012b0e26c519994390cc8f6448cdf2a5320858ffb97a8c25120f	2013-05-15 01:29:01	2013-05-15 00:48:03	249087	249087	996348	2	2	000000000000000000000000000010	6d58a0ec8b91c57043c412743dfe35fb5580ef38b5112eb2845677c69aa5ab38	1267024217	436305897	11187257.461361	00000000000000000000000000000000000000000000004192a09c3ab013fd14	03d39a03055192e4dd5b90eeddf4207f00000000113d	514	0	1211	1059	515784163104	589696.0625	518284163104	592554.3125	37625000	43.0167	151167	0.1728	37791.7	0.0432	21031.599807413	2500000000	2858.25	2537625000	2901.2666	Unknown
236244	00000000000001581fc9de6b2d77692fb77b5cbf2b8f8a8d731db3f776446e79	2013-05-15 01:47:05	2013-05-15 00:50:07	446067	446067	1784268	2	2	000000000000000000000000000010	a989973308bd64ec7c3515a3a96ad4c82463c09f0aa4485878bf36d9ff47ddaa	3893464029	436305897	11187257.461361	000000000000000000000000000000000000000000000041934b511edb13e5bd	03d49a0304e97f011a0454a36804522cfabe6d6d09c979270f9d68e9fc816ba6e9aa765de74bf9f672c47a3551d15052ae7ddb9f0100000000000000425443204775696c64204445ac1eeeed88	881	0	2155	2276	886040970304	1013010.6875	888540970304	1015868.9375	63696740	72.8245	142875	0.1633	35718.7	0.0408	51554.344295674	2500000000	2858.25	2563696740	2931.0745	BTC Guild
236245	0000000000000160ab1722d0151cf3036bd770baa4f5c40d2d58291cc7318b37	2013-05-15 01:54:12	2013-05-15 01:00:28	283738	283738	1134952	2	2	000000000000000000000000000010	f3b0709e734c9b22cf934a8a17e4b79231e86d0e5cfa022e1a3d319c104ec223	513865057	436305897	11187257.461361	00000000000000000000000000000000000000000000004193f606030613ce66	03d59a0304000033b9124d696e656420627920425443204775696c640800001bd0000024b5	623	0	1368	1339	548990366652	627660.6875	551490366652	630518.9375	43650000	49.905	153950	0.176	38487.6	0.044	5092.7946167391	2500000000	2858.25	2543650000	2908.155	BTC Guild
