id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
361116	000000000000000003388bbfa41039d3f637381b7d6df756fda1db19d798da1c	2015-06-16 00:21:44	2015-06-15 23:01:43	934340	934340	3737360	3	3	000000000000000000000000000011	cd7eeac0886883a9f6889d061b075aa267a30df44625173b44eab82f9d0e38eb	1293388110	404103235	49692386354.894	00000000000000000000000000000000000000000007aec34e009843bd0459ed	039c82053c4d696e656420627920416e74506f6f6c20626a35180f42fa206c69e69c89e4bda0e79bb8e99a8fe4b88de6838be4bb8ae7949f2d6d656920557f6c18bd0a00003d582704	1835	0	4633	5608	2047000325556	4840541.5	2049500325556	4846453.5	26045717	61.5903	27883.3	0.0659	6970.81	0.0165	83606.288656113	2500000000	5911.75	2526045717	5973.3403	AntPool
361117	000000000000000014675f23a7b3a05a5425e7dd1117979a532a3bf60cbf15b9	2015-06-16 00:39:20	2015-06-15 23:33:15	603922	603922	2415688	2	2	000000000000000000000000000010	2b513846ad59e9c877933e7b179393c6ced6978698d7fcddc632af4b033e0967	1716132282	404103235	49692386354.894	00000000000000000000000000000000000000000007aecedff1ce67d7facfde	039d8205062f503253482f0439707f550828a6c6b1e3b302000e326639633531612f736c7573682f	1133	0	3199	2623	1138764491472	2692836.5	1141264491472	2698748.25	14190232	33.5556	23504.9	0.0556	5876.22	0.0139	14913.384222809	2500000000	5911.75	2514190232	5945.3057	SlushPool
361118	000000000000000014ebdfb404f25e9686e7c52b799922e2249455842f863c6f	2015-06-16 00:43:02	2015-06-15 23:34:51	136267	136267	545068	3	3	000000000000000000000000000011	79df72271462492414cb148235303be3a3bbd7a8ed18270658f94a70423777a5	3964590296	404103235	49692386354.894	00000000000000000000000000000000000000000007aeda71e3048bf2f145cf	039e8205314d696e656420627920416e74506f6f6c20757361311f10b5362057656e54616e2026204368656e416e6d696e20557f71164d110000ad240200	246	0	760	515	210764561927	498394.9688	213264561927	504306.7188	2779460	6.5726	20431.3	0.0483	5107.84	0.0121	283.73106183745	2500000000	5911.75	2502779460	5918.3228	AntPool
361119	000000000000000005372670a8b9a1dcfc84f4c4abc45aca0abe40bf48a361fb	2015-06-16 00:56:31	2015-06-15 23:49:00	249980	249980	999920	3	3	000000000000000000000000000011	ec97fa4d29bff1e06648e3c386f82177914b36b462f1e735361e7169f24f6c6a	2512422442	404103235	49692386354.894	00000000000000000000000000000000000000000007aee603d43ab00de7bbc0	039f820528fabe6d6d01132c5cdc316ce9b87501692440487d260e41857fb2dec68bd7ca99a346aadf100000000b2f4256383030303030302f2a4e657720486f72697a6f6e73206973203333383933353838206b6d20746f20506c75746f2e0000005044	553	0	1299	1145	607645223291	1436898.625	610145223291	1442810.375	6650535	15.7265	26632.8	0.063	6658.21	0.0157	1914.8990600623	2500000000	5911.75	2506650535	5927.4766	F2Pool
361120	00000000000000001403e46d129bf1b955a8393a66ff6d96bc2437fbb8b13bfd	2015-06-16 00:54:50	2015-06-15 23:53:01	175251	175251	701004	3	3	000000000000000000000000000011	7f87797b20c30398dfada5e8f3a19f4ca9193ca90cd894176eda62fe93f65350	802669947	404103235	49692386354.894	00000000000000000000000000000000000000000007aef195c570d428de31b1	03a0820507062f503253482f04db737f5504b5201a0708f4341a00b60f02000a6673706f6f6c092f425720506f6f6c2f	342	0	946	738	285221565333	674463.4375	287721565333	680375.1875	13081870	30.9347	74738.6	0.1767	18684.6	0.0442	26382.043888001	2500000000	5911.75	2513081870	5942.6846	BW.COM
361121	0000000000000000019412fdcf4848ec71149b8c626a54261a837629a5934f4b	2015-06-16 00:56:02	2015-06-16 00:21:44	81979	81979	327916	3	3	000000000000000000000000000011	2f3f9e1a8ed6b7ae0df40fc19c8183f1301269764f5f604779dc3b2cc525a485	3151220261	404103235	49692386354.894	00000000000000000000000000000000000000000007aefd27b6a6f843d4a7a2	03a182050422747f5508a8004792260600dc0f5b4254434368696e612e636f6d5d20	86	0	492	211	104162300426	246312.5938	106662300426	252224.3438	1048011	2.4782	12815.2	0.0303	3203.79	0.0076	441.90850767311	2500000000	5911.75	2501048011	5914.228	BTCC Pool
361122	0000000000000000160e89cb430c25b04e22e157bdce889a1c4610cd798ae3c0	2015-06-16 00:56:20	2015-06-16 00:39:20	266	266	1064	3	3	000000000000000000000000000011	bb6f3b6eb3cdd6f0e66e7cfab3883c587bc0b31dc682bac549eb5e15e66872a8	3483815371	404103235	49692386354.894	00000000000000000000000000000000000000000007af08b9a7dd1c5ecb1d93	03a2820528fabe6d6d0a7b830b179764c26282fa433453ee906c578825b21196b72c950cd14a12a2fd100000000b2f4256383030303030302f2ae696b0e8a696e9878ee8999fe8b79de586a5e78e8be6989f3333383838363632e585ace9878c0000243e	1	0	1	1	0	0	2500000000	5911.75	0	0	0	0	0	0	0	2500000000	5911.75	2500000000	5911.75	F2Pool
361123	000000000000000014bb23b782a801887363c58d095dca62304fb55aed80a9d7	2015-06-16 00:56:29	2015-06-16 00:43:02	208	208	832	3	3	000000000000000000000000000011	b666520d51384154c681ce412ed6984cc36825d7fed38316bb6d8ce1bcb97a1b	3295259177	404103235	49692386354.894	00000000000000000000000000000000000000000007af144b99134079c19384	03a382051d4d696e656420627920416e74506f6f6c20626a3602fe853c20557f743d38070000de040000	1	0	1	1	0	0	2500000000	5911.75	0	0	0	0	0	0	0	2500000000	5911.75	2500000000	5911.75	AntPool
361124	000000000000000011b4c69cbf84a43848f0d641c78c12d3bf475c1f6432a690	2015-06-16 01:06:21	2015-06-16 00:54:50	355418	355418	1421672	3	3	000000000000000000000000000011	707d32999ea396e0f15a04142a46b7e09f1cb010326b49691239112003faf41a	2533000381	404103235	49692386354.894	00000000000000000000000000000000000000000007af1fdd8a496494b80975	03a4820528fabe6d6d93595e6c8af62bab816f61576ffbd5b97eaa946c44fcd2e903ff7fcbecb5795b100000000b2f4256383030303030302f2ae696b0e8a786e9878ee58fb7e8b79de586a5e78e8be6989f3333383830333730e585ace9878c0000d8fa	887	0	1766	2037	1118655737287	2645285.25	1121155737287	2651197	11389356	26.9324	32069.1	0.0758	8017.29	0.019	195090.2645823	2500000000	5911.75	2511389356	5938.6826	F2Pool
361125	0000000000000000091a68c7c86a26ac30fc97583da393d16edc2a42a688ff83	2015-06-16 01:20:04	2015-06-16 00:56:02	482035	482035	1928140	3	3	000000000000000000000000000011	7c59d8fe4f660914c7bb63ce3428767659ed33a683331ed01656d73b35ece5b2	2499938581	404103235	49692386354.894	00000000000000000000000000000000000000000007af2b6f7b7f88afae7f66	03a58205062f503253482f0494797f55084c91aaf544400d002b68747470733a2f2f6d696e696e672e626974636f696e616666696c696174656e6574776f726b2e636f6d2f	904	0	2548	2439	811528162307	1919020.625	814028162307	1924932.375	13368088	31.6115	27746.1	0.0656	6936.53	0.0164	12898.332196829	2500000000	5911.75	2513368088	5943.3613	Bitcoin Affiliate Network
