id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
677223	00000000000000000001061d65bbe9852e29fcdc97828a2e24d9f6600fc1b3d1	2021-04-01 00:02:18	2021-03-31 23:33:13	1299168	899989	3999135	1073733632	3fffe000	111111111111111110000000000000	511c481f91eae5b0507e8245f3faaa4dab4a2cfa27aa90c20d913b8a9df1a631	1569954641	386719599	21865558044611	00000000000000000000000000000000000000001b6b4eae43a9c557107a1fe8	0367550a04770d65602f706f6f6c696e2e636f6d2f746170726f6f742f626970392f21a29ea6987ddb8e8829490a720726bd11b864d10a00f5a2000000000000	1307	745	6529	4095	191596819684	112515232	192221819684	112882264	57992241	34055.9453	44652.2	26.2219	14506.8	8.5192	6223.6434774307	625000000	367031.25	682992241	401087.1875	Poolin
677224	000000000000000000087330feefb702a4832ba262beca14eeb3900a097ea96c	2021-04-01 00:10:52	2021-03-31 23:46:31	1431295	855576	3998023	541065216	20400000	100000010000000000000000000000	f684e45b7162cd8e10217d94d21e7f2ce91e397cc0c9aaede95ab243fe929f11	1553848576	386719599	21865558044611	00000000000000000000000000000000000000001b6b6291505ec1ce99273491	0368550a2cfabe6d6dcc68f335d59f18741aa998d54a792fd86d59b3c95c0709aa36584b18adfbf57910000000f09f909f082f4632506f6f6c2f134d696e6564206279206e65757472696e6f6a3200000000000000000000000000000000050095980000	2022	1073	5838	6098	657408218126	386062976	658033218126	386430016	55253225	32447.457	38615.8	22.6772	13826	8.1193	78786.29451888	625000000	367031.25	680253225	399478.7188	F2Pool
677225	0000000000000000000461637a8470f258a9824a3e4849956d3ee3063d02047e	2021-04-01 00:11:00	2021-03-31 23:47:15	1189436	934693	3993515	545259520	20800000	100000100000000000000000000000	3100624630bfae917d8d3932aaec47065db00312e28af87d88e0fcb75a300cb1	1697346749	386719599	21865558044611	00000000000000000000000000000000000000001b6b76745d13be4621d4493a	0369550a04625d7ee7626a41312f4254432e636f6d2ffabe6d6de54e28699e40dde5af0c9a6103abe5c399e9660d5caa487e6b7329d848e2e7f702000000020bb56c04b3129f541e000000000000	1858	352	6556	4163	11449646873	6723805	12074646873	7090836.5	14360040	8432.9336	12077.3	7.0922	3597.28	2.1123	1831.6069618412	625000000	367031.25	639360040	375464.1875	BTC.com
677226	00000000000000000006b1c839f10a26185a717f8d030393edc22b4ac96f26a9	2021-04-01 00:15:38	2021-03-31 23:55:11	1295012	899451	3993365	805298176	2fffe000	101111111111111110000000000000	022e82361d34253ebd0ade8304cd7281891e8a8fb078ecaf44906002db90781d	1439769467	386719599	21865558044611	00000000000000000000000000000000000000001b6b8a5769c8babdaa815de3	036a550a1a2f5669614254432f4d696e6564206279206c686238383838382f2cfabe6d6dd2b05e74eec663f37f58f4d815d01984e5070e0491e753eb7b0c5037d90bde8a100000000000000010ad4dcd1015d1a13bda2c51b6f4f52b00	2162	898	6393	5179	185303951139	108819744	185928951139	109186776	30371855	17835.8711	23460	13.7769	7608.35	4.4678	6774.8482021913	625000000	367031.25	655371855	384867.125	ViaBTC
677227	0000000000000000000562b012a7392e350944ef1449d9000ee73fb636244ad0	2021-04-01 00:19:47	2021-03-31 23:56:17	1195588	934245	3998323	549453824	20c00000	100000110000000000000000000000	4968547e9a5072d79ee250af9d8e482ecb60de3c859a2bc50930fe76a243367c	892614529	386719599	21865558044611	00000000000000000000000000000000000000001b6b9e3a767db735332e728c	036b550a2cfabe6d6dda646e04f064a1a470960a1e73e6573599dadaf3617fa9728697dc43fe6beff810000000f09f909f082f4632506f6f6c2f104d696e656420627920626967686f726e00000000000000000000000000000000000000050039890000	2143	685	6288	5152	110663116616	64986916	111288116616	65353948	29426408	17280.6582	24621.8	14.4593	7362.81	4.3239	12245.161819714	625000000	367031.25	654426408	384311.9062	F2Pool
677228	000000000000000000032f266e0c99b01e6597b20ad026ec3eb1a9118a1b37d8	2021-04-01 00:32:57	2021-04-01 00:02:18	1424620	856153	3993079	536870912	20000000	100000000000000000000000000000	03f4c6019e59729390fa194433874ae188090878c973415be574c81bb98078d0	3085448670	386719599	21865558044611	00000000000000000000000000000000000000001b6bb21d8332b3acbbdb8735	036c550a04ba14656068616e677a686f752f7777772e6f6b65782e636f6d2ffabe6d6d5d6218da01d10d8f54922e810a111274e52f23758618b8e4d82c4f0830792f7a020000004204cb9a22114a07010007d5a2050100	2536	1597	6249	8716	487938574444	286541920	488563574444	286908960	59498680	34940.6016	41775.8	24.533	14905.8	8.7535	29110.108099763	625000000	367031.25	684498680	401971.8438	OKEX
677229	000000000000000000010492e9f10498948c345ec9ecbb856f64bdbf3858cf04	2021-04-01 01:12:06	2021-04-01 00:10:52	1323344	890085	3993599	536870912	20000000	100000000000000000000000000000	7919ecf6e3923202501bcf3061b773055fc644746ad984c544f4e0579566f4e6	1482383258	386719599	21865558044611	00000000000000000000000000000000000000001b6bc6008fe7b02444889bde	036d550a043c3dae5b737a59362f4254432e636f6d2ffabe6d6decab14e21dbafac0a8f81f58c5ab1a3535ee53c657a49500c9fc19b802cb9c0e02000000020bb56c0997f9fa570200fd00000000	2679	1750	4692	12550	1065004380689	625423808	1065629380689	625790848	92597653	54377.9727	69995.1	41.1046	23195.8	13.6219	16580.042021073	625000000	367031.25	717597653	421409.2188	BTC.com
677230	0000000000000000000b1fafcd0dfa85c80d14614656c02098a45c57bf05bc50	2021-04-01 01:13:11	2021-04-01 00:11:00	1310521	894121	3992884	545259520	20800000	100000100000000000000000000000	d76199639a234dc26e97ba93c8ff8855efdb9e5625aaf9a3d95c24ce69aee02e	3196980012	386719599	21865558044611	00000000000000000000000000000000000000001b6bd9e39c9cac9bcd35b087	036e550a04271e656062696e616e63652f6f72e1bf935e1291020000000000	1794	1406	5530	7678	201262209139	118191232	201887209139	118558264	62006039	36413.0469	47324.1	27.791	15533.1	9.1218	89996.491603824	625000000	367031.25	687006039	403444.2812	Binance
677231	000000000000000000042be75dce3cb116c9720801a9208bcb556c6f8604b059	2021-04-01 01:25:34	2021-04-01 00:15:38	1332498	886801	3992901	536870912	20000000	100000000000000000000000000000	62177e8d9b99df420d09d633c3438c6f8e7a65d9cb501dacca4b3e930c813b69	1396263952	386719599	21865558044611	00000000000000000000000000000000000000001b6bedc6a951a91355e2c530	036f550a040e21656062696e616e63652f6f72e3a51fa4913b770000000000	2395	1422	6259	7489	483470850337	283918272	484095850337	284285280	63044268	37022.7461	47322.8	27.7904	15793.1	9.2744	41120.712341006	625000000	367031.25	688044268	404054	Binance
677232	000000000000000000060ec7fd1a1843c17894660364b6d09172f864007bbc73	2021-04-01 01:30:38	2021-04-01 00:19:47	1200282	931123	3993651	545259520	20800000	100000100000000000000000000000	bd1ed7bc09a0cf0e070758c6817d0f7723a5687a90df5a36767436fcf3f166b1	3852847630	386719599	21865558044611	00000000000000000000000000000000000000001b6c01a9b606a58ade8fd9d9	0370550a192f5669614254432f4d696e656420627920736372617070792f2cfabe6d6d116edf9419ae8d088c043b1add6c7b559397db10861cdcdb422da82adb84235710000000000000001088a89908cbf3b08117869dac23780000	2554	804	5803	6569	238443321411	140025840	239068321411	140392864	36240842	21282.4336	30204.7	17.7379	9078.39	5.3311	33119.110212338	625000000	367031.25	661240842	388313.6875	ViaBTC
