id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
602787	000000000000000000099d1603965d005e249c01bf4f975e24408e278f733288	2019-11-08 00:49:28	2019-11-07 23:08:20	1233598	919883	3993247	541065216	20400000	100000010000000000000000000000	dca8fd9961fab98849a807735321697dcf1da7a6cb6dfe9cc438f810625ce2f7	2772503916	387326161	12720005267391	000000000000000000000000000000000000000009e7d904d99700a5ecdf3604	03a332091d2f5669614254432f4d696e656420627920737465766577617474756d2f2cfabe6d6d4232b495db8e11ea45053a269fa7a967dbdf760003147f6f236bb82d648a1438100000000000000010020a6810432a4153681b4b300d8f0100	2709	1204	5726	6471	3368141224140	310023904	3369391224140	310138976	59278018	5456.3042	48066.5	4.4243	14849.3	1.3668	14089.634651756	1250000000	115057.4922	1309278018	120513.7969	ViaBTC
602788	00000000000000000009ed5f80d89cefca701524b7c50fbd802dab6bb748f069	2019-11-08 00:54:42	2019-11-07 23:22:35	1389618	869662	3998604	536870912	20000000	100000000000000000000000000000	6329e4eafff4ecb091508b8394e25a6bd866108bb0d34417e4d4ff1384f36773	1879917161	387326161	12720005267391	000000000000000000000000000000000000000009e7e496808de75b5546292d	03a432092cfabe6d6d703c779a6704bb1ad54752d85aae60f13d8fda8927a16d00d69117742f6c2d3e10000000f09f909f00164d696e656420627920737a77777563616977616e31340000000000000000000000000000000000000000000500a89a945d	3026	2255	6382	7035	1000837534929	92123088	1002087534929	92238144	36512948	3360.8706	26284.2	2.4193	9135.38	0.8408	11667.029773897	1250000000	115057.4922	1286512948	118418.3672	F2Pool
602789	000000000000000000132fcea27807635e045d3bff16dd110c5462d92a66d774	2019-11-08 01:03:10	2019-11-07 23:30:36	1280132	906206	3998750	536870912	20000000	100000000000000000000000000000	0e7641a2be8c4ce75158092b3d7310cc822ce47c9e81a443085d1485872b50f7	1659156143	387326161	12720005267391	000000000000000000000000000000000000000009e7f0282784ce10bdad1c56	03a532092cfabe6d6d6f06bc22daf507773e5d65510970a05d344be5e9a13df47b501eb173920d2a5f10000000f09f909f00164d696e6564206279206b7231383633363636393139380000000000000000000000000000000000000000000500a7fcaa4a	3054	1720	5904	7090	1306980395216	120302312	1308230395216	120417368	31361469	2886.6978	24507.4	2.2558	7846.22	0.7222	18387.396154503	1250000000	115057.4922	1281361469	117944.1953	F2Pool
602790	000000000000000000088b83d54cdc0f6997104b5f803df5b6fe5dad30146ce2	2019-11-08 01:03:36	2019-11-07 23:52:54	1157774	917778	3911108	536870912	20000000	100000000000000000000000000000	1aecd23807a521987c7d1e8aef625cf035a3e021b07c0cc8211761814243969c	1002725762	387326161	12720005267391	000000000000000000000000000000000000000009e7fbb9ce7bb4c626140f7f	03a6320904edbec45d2f706f6f6c696e2e636f6d2ffabe6d6dbd606b3dae177f1f67297a058d5136a4a2a01ab41f6097180b783e59015c54690100000000000000e4b991b61f252d26cb7a27573d2bb67b1347e35d7c00177b55d500000000	3222	1357	5460	6184	126243552916	11620214	127493552916	11735271	3199928	294.5406	2764.8	0.2545	818.469	0.0753	6624.4928021419	1250000000	115057.4922	1253199928	115352.0391	Unknown
602791	0000000000000000000c20b23bf41784df9ef8f67fff5b495bab1ddf2e84adae	2019-11-08 01:12:36	2019-11-07 23:57:47	1060236	695156	3145704	549453824	20c00000	100000110000000000000000000000	e01c7ec3d2c3f6fd2d2453170366fd3bee17d2c1c85cf3fde7458419143ce345	743113305	387326161	12720005267391	000000000000000000000000000000000000000009e8074b75729b7b8e7b02a8	03a732090405c1c45d626a30332f4254432e434f4d2ffabe6d6d4713498fc7b7437ad22fc8b908db938ac332cf1755e4c5c49d2aaa3bfdc279bf080000007296cd10bbf95e28960a010000000000	2715	1504	4549	5863	464408771589	42746968	465658771589	42862024	23397070	2153.6067	22076.6	2.0321	7441.55	0.685	23733.289241683	1250000000	115057.4922	1273397070	117211.1016	BTC.com
602792	00000000000000000014f3f8db8c09b7cd90e6c02687ddedda844f1b12fb22fc	2019-11-08 01:19:07	2019-11-08 00:49:28	660700	500574	2162422	541065216	20400000	100000010000000000000000000000	3a695daa0feb210d7a79bf56d24fd412c1d2c49ce8813ba2a0627553912c6526	812900564	387326161	12720005267391	000000000000000000000000000000000000000009e812dd1c698230f6e1f5d1	03a83209194d696e656420627920416e74506f6f6c330000dd205b5a20fcfabe6d6db74ff07343b686d7c3f1dbbb829952dfba756cd3d68e40d482d21dbb70dc2a2d0400000000000000409c0080a54c0100	2113	1133	2872	4392	221324612947	20372044	222574612947	20487102	15224737	1401.3761	23056.6	2.1223	7045.2	0.6485	4333.0660868528	1250000000	115057.4922	1265224737	116458.875	AntPool
602793	00000000000000000003503a626c5bda495af8d0cc095470946b94a647a4044a	2019-11-08 02:09:31	2019-11-08 00:54:42	1182399	936899	3993096	536870912	20000000	100000000000000000000000000000	93b1c211d82e942d223478bd1e12c67b533dcedf5bc14f6e22f62b5e843e05da	3706374863	387326161	12720005267391	000000000000000000000000000000000000000009e81e6ec36068e65f48e8fa	03a932090465cec45d686b30342f62797465706f6f6c2e636f6d2ffabe6d6d7b4c6694898a6c2ca364f1dbf6cea9658ede234ce27d0b612753de8799d5fdf1010000004204cb9a87097b4b6da5b05d1ac95501	2848	972	5529	6646	3060324975123	281690656	3061574975123	281805728	61607303	5670.7056	52120.4	4.7974	15433.9	1.4206	11249.700174672	1250000000	115057.4922	1311607303	120728.2031	Unknown
602794	0000000000000000000361bc2c28222cc1447fac7ca4070df5f6d55f3054d2e7	2019-11-08 02:24:09	2019-11-08 01:03:10	1127036	955401	3993239	1073676288	3fff0000	111111111111110000000000000000	c1edd8ed371c044e72c7f35bb8dd5a5c590bcdb478d64e65694a4d9183658d6d	3435061671	387326161	12720005267391	000000000000000000000000000000000000000009e82a006a574f9bc7afdc23	03aa32091a2f5669614254432f4d696e6564206279206e61736e6f6f72692f2cfabe6d6d768dc27d8d6d4fc69a611dad7003f60354e4b4cc73500300c011f11b06bf97e7100000000000000010ef0ad207ba7dd6a2097273759a670000	1598	688	2688	18871	2655213764584	244401792	2656463764584	244516848	40482513	3726.2532	35930.4	3.3072	10141	0.9334	5550.8391488253	1250000000	115057.4922	1290482513	118783.75	ViaBTC
602795	0000000000000000000de9dc51b46ff331f866c97717321df08d1fb06f83bcf9	2019-11-08 02:28:50	2019-11-08 01:03:36	1370528	874215	3993173	1073733632	3fffe000	111111111111111110000000000000	9e2076de445793f100efd18e1b2f9b8b9db0e77cc18c913d0af79daff7fc436e	3798230006	387326161	12720005267391	000000000000000000000000000000000000000009e83592114e36513016cf4c	03ab320904e3d2c45d535a30332f4254432e434f4d2ffabe6d6d5084de74e48d9e2b6cf1696e4a19dce8a6f0103d69159730ace01f7dc653bc96020000004204cb9a058cc65aedc9160000000000	2945	1960	6421	7129	1156176484520	106421416	1157426484520	106536472	36940063	3400.1848	26959.6	2.4816	9253.58	0.8518	11234.650841699	1250000000	115057.4922	1286940063	118457.6797	BTC.com
602796	0000000000000000001233f0334a7d89353306792808c315911b205c5cae5a41	2019-11-08 02:31:08	2019-11-08 01:12:36	1200130	921943	3965959	536870912	20000000	100000000000000000000000000000	3c36fde7bd11c6d3255927878921d3c0efb66d26a8a624bc413a5aea5eb62efa	4208013136	387326161	12720005267391	000000000000000000000000000000000000000009e84123b8451d06987dc275	03ac3209000453d3c45d04ae17ca040c8335a65d505a875def0a00000a636b706f6f6c	2822	1016	5473	7209	922715129757	84932232	923965129757	85047288	18085062	1664.6576	15073.2	1.3874	4561.4	0.4198	90046.37347586	1250000000	115057.4922	1268085062	116722.1562	Unknown
