id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
513704	0000000000000000002af0777a0b87b43784394084f69a9a42de7621376f648d	2018-03-16 00:01:47	2018-03-15 23:27:54	256958	210034	887060	536870912	20000000	100000000000000000000000000000	6481e16dc0c9d37f4f2de83438340d03983088dfde1795406f3a4da5da348270	3744157837	391481763	3290605988755	00000000000000000000000000000000000000000148968e5d68d264fb160e32	03a8d6072cfabe6d6d014da2ff5f5310b9e96b884eb5098a77a03f0042471e156274295b14fba29e3504000000f09f909f0f4d696e65642062792064626d7930360000000000000000000000000000000000000000000000000000000000000000000000	377	113	1344	944	278685515062	22621544	279935515062	22723010	8450268	685.9277	32931.9	2.6732	9538.11	0.7742	736.72336439561	1250000000	101465.375	1258450268	102151.3047	F2Pool
513705	000000000000000000049b9057e3760c298eccf68b2102be7c9716247ced3dde	2018-03-16 00:13:26	2018-03-15 23:38:45	585245	495949	2073092	536870912	20000000	100000000000000000000000000000	29c17ab434eae5b441c0a774032b1722b52af14dc2778fb6ffe830574168c17c	1126904834	391481763	3290605988755	00000000000000000000000000000000000000000148998c87cda85cd150f054	03a9d6072cfabe6d6dd452fef5bedea06c928e1631460b18f6376d03f97d40d0276021381b4bf1c52204000000f09f909f0e4d696e6564206279206a74627463000000000000000000000000000000000000000000000000000000000000000000000000	1331	433	2723	3427	610878958096	49586448	612128958096	49687916	17514861	1421.7216	29945.8	2.4308	8450.25	0.6859	10605.448930653	1250000000	101465.375	1267514861	102887.0938	F2Pool
513706	0000000000000000005533805b6f125d81608e2d5e26fc6edaa9447ab184ded4	2018-03-16 00:15:03	2018-03-15 23:46:59	87241	64473	280660	536870912	20000000	100000000000000000000000000000	0f2b89e3a82bbd39a96ed1572b63c3b4f67c3c7d943a4812f40ade4a9c464b61	279328023	391481763	3290605988755	000000000000000000000000000000000000000001489c8ab2327e54a78bd276	03aad60704880cab5a652f4254432e434f4d2ffabe6d6d1e11615d612396cf2c5b6067efd4af8a48458380a346689cb0ee58bb05fce7bc01000000000000000569f107194a010000000000	196	61	389	462	94755993052	7691562	96005993052	7793027.5	2205234	179.0039	25371.7	2.0595	7886.76	0.6402	1335.6491596954	1250000000	101465.375	1252205234	101644.375	BTC.com
513707	0000000000000000002e165c20f54de5ffae6656732a7302b447ea3f4225f1e0	2018-03-16 00:47:50	2018-03-15 23:55:59	1154141	946338	3993155	536870912	20000000	100000000000000000000000000000	fce8a3b34beebe40f41090825d7f5097005f739c2379cc15e6634b8829f8134c	474298785	391481763	3290605988755	000000000000000000000000000000000000000001489f88dc97544c7dc6b498	03abd607043714ab5a612f4254432e434f4d2ffabe6d6deeb010c0eb64346c980658e605d252b4125a57b7d2787d40c30527c2ec75c814010000000000000046129096030e000000000000	3225	1182	5148	7689	1475115726257	119738536	1476365726257	119840000	55151184	4476.7485	47799	3.88	13806.5	1.1207	302972.45194567	1250000000	101465.375	1305151184	105942.125	BTC.com
513708	000000000000000000122cffeb485354c7cd8068a0502312ef96123af9848bc4	2018-03-16 00:52:36	2018-03-15 23:59:54	203708	165134	699110	536870912	20000000	100000000000000000000000000000	aba2cdacaa0b7e487b9e77377ab6562d3fd35cf129c7e5deb994a6d4af53af3c	1188258356	391481763	3290605988755	00000000000000000000000000000000000000000148a28706fc2a44540196ba	03acd607184d696e656420627920416e74506f6f6c31365d205aab1554fabe6d6d9e460636322b6284d37b14c571e52e9319af09eb852ac33c6caf2805d285b56304000000000000007e100000872c0000	536	186	897	1408	143072429694	11613518	144322429694	11714984	7652085	621.1373	37625.3	3.0541	10958.2	0.8895	1222.9353757624	1250000000	101465.375	1257652085	102086.5156	AntPool
513709	000000000000000000435ac262c79820959cd9c9315192e82c31e9e99a50f2e6	2018-03-16 00:56:44	2018-03-16 00:01:47	552332	486506	2011850	536870912	20000000	100000000000000000000000000000	ca17838e98405917064da5dd985e0f6f549eb56cacd2cc267523bf2c60c1d29e	1570769480	391481763	3290605988755	00000000000000000000000000000000000000000148a5853161003c2a3c78dc	03add607044d16ab5a2f08e32f1fc7a8010000000000	884	329	2178	5521	1050998211423	85311944	1052248211423	85413408	5491949	445.7941	9948.7	0.8076	2730.31	0.2216	10211.573230635	1250000000	101465.375	1255491949	101911.1719	Unknown
513710	00000000000000000041b2d7fd9c5e2114e86d947f0f2f50ac1bb1e20ddc708b	2018-03-16 00:57:18	2018-03-16 00:13:26	34642	28816	121090	536870912	20000000	100000000000000000000000000000	e36af07aea6041b0b122a98bb0ac337a675138c2550b29ca52f56193fa583105	173745694	391481763	3290605988755	00000000000000000000000000000000000000000148a8835bc5d63400775afe	03aed607182f5669614254432f4d696e6564206279206461736830312f2cfabe6d6d9a6eaaff1b2a22dba86d1f522e5e32027b880ef53e90e31c18cd4e4ef6b8b05c010000000000000010ed174f047536f6280bd4df48a03f0000	79	33	169	175	46514633130	3775699.75	47764633130	3877165	632708	51.3584	18445.2	1.4972	5276.26	0.4283	976.28716526702	1250000000	101465.375	1250632708	101516.7344	ViaBTC
513711	000000000000000000408839c0f4e7db14278b9035d336e369f131e8f1298ac1	2018-03-16 01:14:13	2018-03-16 00:15:03	1102648	963363	3992737	536870912	20000000	100000000000000000000000000000	41735e51342f38ae41b470a7348d01d6e624a56e6bc926b92edc97f5493b109d	334160510	391481763	3290605988755	00000000000000000000000000000000000000000148ab81862aac2bd6b23d20	03afd60704661aab5a612f4254432e434f4d2ffabe6d6da2524875b7c637f11de153f59b01572a85a6eb3c2506d937d6bec0b2c479b52c01000000000000006e2201eeca98200000000000	2097	643	4855	7844	1213827523509	98529168	1215077523509	98630640	47663632	3868.9666	43239.3	3.5098	11937	0.969	9680.3576174614	1250000000	101465.375	1297663632	105334.3438	BTC.com
513712	000000000000000000475e325cd2c1ac694ff53aa8aa278e5801a2c9bf4df0c7	2018-03-16 01:15:42	2018-03-16 00:47:50	438384	419994	1698366	536870912	20000000	100000000000000000000000000000	31c0eb3b2cd76717cbaa52573b64dc192b838bee13443ff43286ee22e019c89c	150567268	391481763	3290605988755	00000000000000000000000000000000000000000148ae7fb08f8223aced1f42	03b0d60794ea6a2309894a180c79311ab892f9d114678188cc860f7eb929633a0b20296ee566ad5a300100000000000000006a79000040da5d673808460f2f425443432f2000000000000000000000000000000000000000000000000000000000000000	203	58	1698	812	152854135376	12407522	154104135376	12508987	7478723	607.0651	17073.3	1.3859	4406.52	0.3577	1121.1912014974	1250000000	101465.375	1257478723	102072.4375	BTCC Pool
513713	00000000000000000033a03c9f5106cfa09982e0d9f517fafb2ff9cdd69f12f5	2018-03-16 02:03:17	2018-03-16 00:52:36	1104123	962901	3992826	536870912	20000000	100000000000000000000000000000	29ceb781737ef622db777e2709d822a9ef7faccf9fe3bf8142ab8f6ce3d1792a	1041603909	391481763	3290605988755	00000000000000000000000000000000000000000148b17ddaf4581b83280164	03b1d6070004bc25ab5a045548292808f4989d5a001123a4092f426974667572792f	2385	481	5157	6504	2441477706394	198180368	2442727706394	198281824	55498991	4504.981	50278.2	4.0812	13900.3	1.1283	40616.875371536	1250000000	101465.375	1305498991	105970.3594	BitFury
