id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
350294	00000000000000000d4886103a66b7bdd01dc59716ef1c6957fd6134f3103498	2015-04-02 00:07:49	2015-04-01 23:25:08	749111	749111	2996444	2	2	000000000000000000000000000010	17f57b05f052ba4ea6752946902803801b190ef9486c256a19e831308ecc2adc	1397932254	404195570	46717549644.706	00000000000000000000000000000000000000000005d47b60be6fd5c3ec8c72	035658050c63ee9ab8ca64526369e79144	1406	0	3497	5562	777180129367	1903625	779680129367	1909748.5	19120607	46.834	25530.7	0.0625	6382.68	0.0156	3639.773522855	2500000000	6123.5	2519120607	6170.334	Unknown
350295	0000000000000000161ac386b5adeab0bb915e453a465040d3b69b14146506e8	2015-04-02 00:18:41	2015-04-01 23:28:05	458797	458797	1835188	2	2	000000000000000000000000000010	2770339eb37deba73625c3a3ec210cdccc20674feec41d416c43cd8ceedf7bbf	3045217496	404195570	46717549644.706	00000000000000000000000000000000000000000005d486415e8cc295b17730	03575805062f503253482f040a8b1c550860000b94700000691a54696d6520697320616c7761797320616761696e73742075732e	880	0	2144	3326	411418084248	1007727.4375	413918084248	1013850.9375	11795191	28.8911	25721.3	0.063	6430.32	0.0157	6278.2898020218	2500000000	6123.5	2511795191	6152.3911	BitFury
350296	00000000000000000713b875ccb42ca784356439adac0b9c5871b5d4e919e9bd	2015-04-02 00:23:09	2015-04-01 23:29:29	176182	176182	704728	2	2	000000000000000000000000000010	debb57faee071205f5ceda3cc198808b34d3d7e2ad7d8b63244e85d249c76e9a	951468600	404195570	46717549644.706	00000000000000000000000000000000000000000005d49121fea9af677661ee	03585805e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d93f55f704dbd84af975e954b2091258fb0b32a59ac431bdca494c6cc1b05452e1000000000000000009d6e44ad8f00004d696e656420627920646171696e67	293	0	848	1187	134709546660	329957.5625	137209546660	336081.0625	3961163	9.7025	22515.8	0.0552	5628.95	0.0138	7040.1811218984	2500000000	6123.5	2503961163	6133.2026	F2Pool
350297	000000000000000003419301b868c26fba0a878c094db4c57be357067691b0ef	2015-04-02 00:41:45	2015-04-01 23:52:54	694073	694073	2776292	2	2	000000000000000000000000000010	6b3ae2be07fe903e60e4bd10dfc7dea20b2ca76e3f198e4a59e0889bd413e0a6	3542116867	404195570	46717549644.706	00000000000000000000000000000000000000000005d49c029ec69c393b4cac	03595805062f503253482f044a901c55087fff64b886e7080007425720506f6f6c	1237	0	3381	4509	515092219420	1261666.875	517592219420	1267790.375	17441205	42.7205	25137.3	0.0616	6284.32	0.0154	27524.559547355	2500000000	6123.5	2517441205	6166.2207	BW.COM
350298	00000000000000000617c5845aefb8b62b67761ed77303e2098e7a879cfd2147	2015-04-02 00:54:02	2015-04-01 23:53:29	467337	467337	1869348	2	2	000000000000000000000000000010	49ae25b69d66a588e7da643d180f4c97b22c2ba873764472af655caac842636f	663566092	404195570	46717549644.706	00000000000000000000000000000000000000000005d4a6e33ee3890b00376a	035a5805e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6db4a60af0296384ff61ae3141d03d90decbee6eec69d933841b0030dc9254c1c61000000000000000035c8b56ea2205004d696e6564206279206d7931303839	927	0	2324	2846	711027474255	1741590.75	713527474255	1747714.25	13537231	33.1581	28982.5	0.071	7245.62	0.0177	10430.408405763	2500000000	6123.5	2513537231	6156.6582	F2Pool
350299	00000000000000000cd7da2c83f8a4c4cb2aa2068edaa289d5ee5b73a03a20f7	2015-04-02 00:58:31	2015-04-02 00:07:49	242523	242523	970092	2	2	000000000000000000000000000010	2f95be9e02902acbd299edcda4b4246ae836a669f1046d2c125698fd16a33c6d	3945746072	404195570	46717549644.706	00000000000000000000000000000000000000000005d4b1c3df0075dcc52228	035b5805062f503253482f0437941c5508f8005f68c7bc0000392f7374726174756d506f6f6c2ffabe6d6d95e5061b8108f9a82ac8247311763d8247dd81a2716b88e8335c27a395b280900100000000000000	367	0	1344	891	207979532269	509425.0625	210479532269	515548.5625	5684942	13.9247	23465.1	0.0575	5866.28	0.0144	22626.196481924	2500000000	6123.5	2505684942	6137.4248	transactioncoinmining
350300	00000000000000000ba6d629ea48bdd2d23b277d0654423eded7cf80cb57ffff	2015-04-02 01:01:48	2015-04-02 00:18:41	146354	146354	585416	2	2	000000000000000000000000000010	8abd7a8bc831e02ca24084b8ec2846b5dec902433a9be187b2f8d1d266df913e	4156852259	404195570	46717549644.706	00000000000000000000000000000000000000000005d4bca47f1d62ae8a0ce6	035c58051e4d696e656420627920416e74506f6f6c20757361312581e17f20551c94fa4c10000002bbb12f	263	0	802	567	108007621895	264553.875	110507621895	270677.375	3147703	7.71	21538.5	0.0528	5384.63	0.0132	11649.06114112	2500000000	6123.5	2503147703	6131.21	AntPool
350301	000000000000000016eea235606220701ee9f7a5663f08b9c990966ab7fa142a	2015-04-02 01:06:20	2015-04-02 00:23:09	134804	134804	539216	2	2	000000000000000000000000000010	a484cdb32574a407692cb52e152256f2d7aed6235622fb78da476dd5ec19cf0a	600285220	404195570	46717549644.706	00000000000000000000000000000000000000000005d4c7851f3a4f804ef7a4	035d580504001e780008124d696e656420627920425443204775696c642cfabe6d6d791de5d597ad42c84c4ae7a6c30480f67ea46c0ea5b1c1377eeec3dd3d5d9af801000000000000000800286248ec0d0000	251	0	683	826	211022878388	516879.4375	213522878388	523002.9375	4445176	10.888	33036.1	0.0809	8259.03	0.0202	5217.1919852784	2500000000	6123.5	2504445176	6134.3882	BTC Guild
350302	000000000000000015c473c37061119e47ea3b037f36def23cb1c9bb2e3892ae	2015-04-02 01:24:28	2015-04-02 00:41:45	583939	583939	2335756	2	2	000000000000000000000000000010	f45bb7e8b3ed89ea2e849423d392dbbad073632db404ae99eda8d27ae7e592f6	860289278	404195570	46717549644.706	00000000000000000000000000000000000000000005d4d265bf573c5213e262	035e5805e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d9d56dd87c523e3a2516d58cbe816eb3df0a170a99f941f4fd876954df7c6245f100000000000000000c469f304cc02004d696e656420627920646171696e67	1235	0	2783	3902	854631203315	2093333.75	857131203315	2099457.25	16543388	40.5214	28343	0.0694	7085.75	0.0174	157397.52259317	2500000000	6123.5	2516543388	6164.0215	F2Pool
350303	000000000000000008178a52c7a23515ca5bd66e2a8af34d4b673aec1b2c8d21	2015-04-02 01:40:50	2015-04-02 00:54:02	563605	563605	2254420	2	2	000000000000000000000000000010	0fe14199325aa9828eafd9d9db551a12738a3a1aa3b6171c93ff91949f847fd1	3799704529	404195570	46717549644.706	00000000000000000000000000000000000000000005d4dd465f742923d8cd20	035f5805204d696e656420627920416e74506f6f6c206e6d67302691ccc920551c9e2206890e090000ac660200	1072	0	2884	2862	693376183361	1698355.625	695876183361	1704479.125	15942296	39.0491	28297	0.0693	7074.25	0.0173	8111.1238015069	2500000000	6123.5	2515942296	6162.5493	AntPool
