id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
306730	00000000000000004be0a8a9448843b169dd04bb30b67731318e47a8ec7c4a7e	2014-06-20 00:03:19	2014-06-19 23:41:35	147947	147947	591788	2	2	000000000000000000000000000010	a188b6ed537917ccd255338d03ab77d6cf4371a6ec387f775172f9fa3516ccc1	2309550499	408005538	13462580114.525	0000000000000000000000000000000000000000000099e3fca8dad1c7697bc9	032aae04062f503253482f042a7aa353085f15e50f300003a12e522cfabe6d6d8c5b8ad864ca8074e70e242753a920f1034367ba470a2dce3c7a97c652cbda590400000000000000	222	0	761	781	332737135931	2019015.625	335237135931	2034185.375	3596290	21.8219	24347.1	0.1477	6086.78	0.0369	1823.2651971417	2500000000	15169.749	2503596290	15191.5713	GHash.IO
306731	00000000000000000639c52a2e34c2188e7f9fb494875077369e1bdc56b0b87b	2014-06-20 00:05:50	2014-06-19 23:47:09	49753	49753	199012	2	2	000000000000000000000000000010	235adbb1273736f7914f8677ba1820235cb6ed3dbc2c9a8db34562719004c0ef	3056800857	408005538	13462580114.525	0000000000000000000000000000000000000000000099e71f1aa8d61bea79c4	032bae04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d7dc7644952e1819a0397f9fc266ac6032d38870cc00d5ecf7182939059bb76081000000000000000f9f9acb42e9000004d696e6564206279207171353330303034393239	111	0	241	269	22078150953	133968	24578150953	149137.75	1789726	10.8599	36159	0.2194	9039.75	0.0549	39.344140022722	2500000000	15169.749	2501789726	15180.6094	F2Pool
306732	00000000000000002dfd1327f4d65c02f3a62bc720784089110df75ae362873f	2014-06-20 00:14:52	2014-06-19 23:50:32	202034	202034	808136	2	2	000000000000000000000000000010	37f0dcb33619594fc6e8ea5df924db448ca3c05745a0c5cf67f9a99d8dbdc237	552690499	408005538	13462580114.525	0000000000000000000000000000000000000000000099ea418c76da706b77bf	032cae04062f503253482f04fb7ca353086e8e691b28845dd92e522cfabe6d6da0486a0662a6c8fe46fc52504ed2c7b5999105f1f8f1057ca37ecc681b9039ec0400000000000000	327	0	1006	1093	601705532469	3651088.75	604205532469	3666258.5	4951946	30.0479	24539.6	0.1489	6134.9	0.0372	35128.988723035	2500000000	15169.749	2504951946	15199.7969	GHash.IO
306733	00000000000000004f73d48c972aa30493526191aa009f95e4a71dcfbdca08b2	2014-06-20 00:21:14	2014-06-19 23:54:36	198749	198749	794996	2	2	000000000000000000000000000010	89696c05c25a2a721d391c6657c3ef8abf48c5b9a7c2d1147c3a4a8a3152a3d9	2460524072	408005538	13462580114.525	0000000000000000000000000000000000000000000099ed63fe44dec4ec75ba	032dae04062f503253482f044f7ea353085800003c500005d1082f3331333337332f	231	0	939	1433	176633339252	1071793.375	179133339252	1086963.125	4162705	25.2589	20965.6	0.1272	5241.41	0.0318	456.5435253721	2500000000	15169.749	2504162705	15195.0088	BitFury
306734	000000000000000045840bb9bf0058a405bdb924db0f582115159cd1874dab22	2014-06-20 00:35:09	2014-06-19 23:57:06	280448	280448	1121792	2	2	000000000000000000000000000010	31a08214d3ae8ffaf30258b8496acecd18977d4976cdf4da8d25731882452528	3140228854	408005538	13462580114.525	0000000000000000000000000000000000000000000099f0867012e3196d73b5	032eae04062f503253482f048d81a3530803962c48031b7c952e522cfabe6d6dc04f21a073262d5f90d5d40535cfa064c12024d0b5419bf14f5138c3a76636c20400000000000000	564	0	1373	1496	645671428781	3917869.5	648171428781	3933039.25	9157797	55.5686	32682.1	0.1983	8170.54	0.0496	59044.850796586	2500000000	15169.749	2509157797	15225.3184	GHash.IO
306735	0000000000000000062c0c3ea7e81821ec27587b30d0fd96347e124b815d6ca2	2014-06-20 00:28:59	2014-06-20 00:03:19	86103	86103	344412	2	2	000000000000000000000000000010	483f02e374b97e28375f57b7fe24cfa09db4b0da99e2cc48106efcd3acba39f1	1482210005	408005538	13462580114.525	0000000000000000000000000000000000000000000099f3a8e1e0e76dee71b0	032fae040c4d329daa0769b0f1473be5ef	44	0	546	88	49388325840	299683.4062	51888325840	314853.1562	645690	3.918	7515.01	0.0456	1878.75	0.0114	379.98812595019	2500000000	15169.749	2500645690	15173.667	Unknown
306736	00000000000000002bcb175465f6cadca720b269827a84de76ebf9c943c4313a	2014-06-20 00:55:06	2014-06-20 00:05:50	360882	360882	1443528	2	2	000000000000000000000000000010	15762cbfee20342746627232850925c77e425003cad79537c27c8f3edffbeb29	1255202396	408005538	13462580114.525	0000000000000000000000000000000000000000000099f6cb53aeebc26f6fab	0330ae04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d57c2fbc1dce0c3a027e984f40becafe4e529e3c2129153bafcbd0ba8a9acc4881000000000000000f423f2ad488901004d696e6564206279207374616263	654	0	1642	2371	731259443073	4437209	733759443073	4452379	11741352	71.2453	32558	0.1976	8139.5	0.0494	20403.074288369	2500000000	15169.749	2511741352	15240.9951	F2Pool
306737	00000000000000003277ddcc778b4e4893d8776a101cf785c57d7ca2e3c8d8be	2014-06-20 01:06:20	2014-06-20 00:14:52	190360	190360	761440	2	2	000000000000000000000000000010	12853ef1a3e0e0307bf81a8255ba3e2b7fed4aa950cbf6ccdd80b24599b69b92	3920708683	408005538	13462580114.525	0000000000000000000000000000000000000000000099f9edc57cf016f06da6	0331ae040400044ad408124d696e656420627920425443204775696c642cfabe6d6d4f2e8feea00617651488a2bc683e53a7aab70041d79638d88367e20ad545f19801000000000000000800104a8fd0770200	391	0	925	951	376123784239	2282281.5	378623784239	2297451.25	26115326	158.4652	137370	0.8335	34342.6	0.2084	1816.158585405	2500000000	15169.749	2526115326	15328.2148	BTC Guild
306738	0000000000000000050268ab6453b06e9549d9b07e51bdc1e129c48a556ea7e2	2014-06-20 01:09:20	2014-06-20 00:21:14	85375	85375	341500	2	2	000000000000000000000000000010	b92a4329093b6417101cbb73be37a494be4b6223971ae444829aa0966aa516a9	1650512383	408005538	13462580114.525	0000000000000000000000000000000000000000000099fd10374af46b716ba1	0332ae04040004573938124d696e656420627920425443204775696c642cfabe6d6dd34af7f765c5ab71feaf06aebb5d363b27c0a739028013e2ef760dd5c4a18617010000000000000008000fe1bfb9a40000	109	0	427	330	157778930832	957386.75	160278930832	972556.5	1906374	11.5677	22394.7	0.1359	5598.68	0.034	1205.5152149444	2500000000	15169.749	2501906374	15181.3174	BTC Guild
306739	0000000000000000144fb78817cbcfa801677adf45611a5432e62f0463e29b2a	2014-06-20 01:13:55	2014-06-20 00:28:59	113835	113835	455340	2	2	000000000000000000000000000010	962acf31ce3c8e2450966a53506478909adea2e1a51c5d05d1371bf626ece0c1	3216573440	408005538	13462580114.525	000000000000000000000000000000000000000000009a0032a918f8bff2699c	0333ae0404000456c549124d696e656420627920425443204775696c642cfabe6d6da9d38846057a9476a461cb257b2ad640d54129427341ec6b859c24a663258f12010000000000000008000f2655f30a0100	235	0	588	471	133156940491	807983	135656940491	823152.75	3352229	20.341	29512.7	0.1791	7378.17	0.0448	1474.6780260278	2500000000	15169.749	2503352229	15190.0908	BTC Guild
